RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005
"","","","","","","","","","","",""
I,I,P,P,V,V,R,R,Wh,Wh,Ah,Ah
Time I [A DC],I [A DC],Time P [W],P [W],Time V [V DC],V [V DC],Time R [Ω],R [Ω],Time Wh [Wh],Wh [Wh],Time Ah [Ah],Ah [Ah]
43.5830,0,43.5830,0,43.5830,0,43.5830,-1.79769e+308,43.5830,0,43.5830,0
43.9720,0,43.9720,0,43.9720,0,43.9720,-1.79769e+308,43.9720,0,43.9720,0
44.3610,0,44.3610,0,44.3610,0,44.3610,-1.79769e+308,44.3610,0,44.3610,0
44.7500,0,44.7500,0,44.7500,0,44.7500,-1.79769e+308,44.7500,0,44.7500,0
45.1390,0,45.1390,0,45.1390,0,45.1390,-1.79769e+308,45.1390,0,45.1390,0
45.5280,0,45.5280,0,45.5280,0,45.5280,-1.79769e+308,45.5280,0,45.5280,0
45.9170,0,45.9170,0,45.9170,0,45.9170,-1.79769e+308,45.9170,0,45.9170,0
46.3070,0,46.3070,0,46.3070,0,46.3070,-1.79769e+308,46.3070,0,46.3070,0
46.6960,0,46.6960,0,46.6960,0,46.6960,-1.79769e+308,46.6960,0,46.6960,0
47.0850,0,47.0850,0,47.0850,0,47.0850,-1.79769e+308,47.0850,0,47.0850,0
47.4740,0,47.4740,0,47.4740,0,47.4740,-1.79769e+308,47.4740,0,47.4740,0
47.8630,0,47.8630,0,47.8630,0,47.8630,-1.79769e+308,47.8630,0,47.8630,0
48.2520,0,48.2520,0,48.2520,0,48.2520,-1.79769e+308,48.2520,0,48.2520,0
48.6410,0,48.6410,0,48.6410,0,48.6410,-1.79769e+308,48.6410,0,48.6410,0
49.0310,0,49.0310,0,49.0310,0,49.0310,-1.79769e+308,49.0310,0,49.0310,0
49.4190,0,49.4190,0,49.4190,0,49.4190,-1.79769e+308,49.4190,0,49.4190,0
49.8090,0,49.8090,0,49.8090,0,49.8090,-1.79769e+308,49.8090,0,49.8090,0
50.1980,0,50.1980,0,50.1980,0,50.1980,-1.79769e+308,50.1980,0,50.1980,0
50.5870,0,50.5870,0,50.5870,0,50.5870,-1.79769e+308,50.5870,0,50.5870,0
50.9760,0,50.9760,0,50.9760,0,50.9760,-1.79769e+308,50.9760,0,50.9760,0
51.3650,0,51.3650,0,51.3650,0,51.3650,-1.79769e+308,51.3650,0,51.3650,0
51.7550,0,51.7550,0,51.7550,0,51.7550,-1.79769e+308,51.7550,0,51.7550,0
52.1430,0,52.1430,0,52.1430,0,52.1430,-1.79769e+308,52.1430,0,52.1430,0
52.5320,0,52.5320,0,52.5320,0,52.5320,-1.79769e+308,52.5320,0,52.5320,0
52.9220,0,52.9220,0,52.9220,0,52.9220,-1.79769e+308,52.9220,0,52.9220,0
53.3110,0,53.3110,0,53.3110,0,53.3110,-1.79769e+308,53.3110,0,53.3110,0
53.7000,0,53.7000,0,53.7000,0,53.7000,-1.79769e+308,53.7000,0,53.7000,0
54.0890,0,54.0890,0,54.0890,0,54.0890,-1.79769e+308,54.0890,0,54.0890,0
54.4790,0,54.4790,0,54.4790,0,54.4790,-1.79769e+308,54.4790,0,54.4790,0
54.8680,0,54.8680,0,54.8680,0,54.8680,-1.79769e+308,54.8680,0,54.8680,0
55.2570,0,55.2570,0,55.2570,0,55.2570,-1.79769e+308,55.2570,0,55.2570,0
55.6460,0,55.6460,0,55.6460,0,55.6460,-1.79769e+308,55.6460,0,55.6460,0
56.0350,0,56.0350,0,56.0350,0,56.0350,-1.79769e+308,56.0350,0,56.0350,0
56.4240,0,56.4240,0,56.4240,0,56.4240,-1.79769e+308,56.4240,0,56.4240,0
56.8130,0,56.8130,0,56.8130,0,56.8130,-1.79769e+308,56.8130,0,56.8130,0
57.2030,0,57.2030,0,57.2030,0,57.2030,-1.79769e+308,57.2030,0,57.2030,0
57.5910,0,57.5910,0,57.5910,0,57.5910,-1.79769e+308,57.5910,0,57.5910,0
57.9810,0,57.9810,0,57.9810,0,57.9810,-1.79769e+308,57.9810,0,57.9810,0
58.3700,0,58.3700,0,58.3700,0,58.3700,-1.79769e+308,58.3700,0,58.3700,0
58.7590,0,58.7590,0,58.7590,0,58.7590,-1.79769e+308,58.7590,0,58.7590,0
59.1480,0,59.1480,0,59.1480,0,59.1480,-1.79769e+308,59.1480,0,59.1480,0
59.5370,0,59.5370,0,59.5370,0,59.5370,-1.79769e+308,59.5370,0,59.5370,0
59.9260,0,59.9260,0,59.9260,0,59.9260,-1.79769e+308,59.9260,0,59.9260,0
60.3150,0,60.3150,0,60.3150,0,60.3150,-1.79769e+308,60.3150,0,60.3150,0
60.7050,0,60.7050,0,60.7050,0,60.7050,-1.79769e+308,60.7050,0,60.7050,0
61.0940,0,61.0940,0,61.0940,0,61.0940,-1.79769e+308,61.0940,0,61.0940,0
61.4830,0,61.4830,0,61.4830,0,61.4830,-1.79769e+308,61.4830,0,61.4830,0
61.8720,0,61.8720,0,61.8720,0,61.8720,-1.79769e+308,61.8720,0,61.8720,0
62.2610,0,62.2610,0,62.2610,0,62.2610,-1.79769e+308,62.2610,0,62.2610,0
62.6500,0,62.6500,0,62.6500,0,62.6500,-1.79769e+308,62.6500,0,62.6500,0
63.0390,0,63.0390,0,63.0390,0,63.0390,-1.79769e+308,63.0390,0,63.0390,0
63.4280,0,63.4280,0,63.4280,0,63.4280,-1.79769e+308,63.4280,0,63.4280,0
63.8180,0,63.8180,0,63.8180,0,63.8180,-1.79769e+308,63.8180,0,63.8180,0
64.2070,0,64.2070,0,64.2070,0,64.2070,-1.79769e+308,64.2070,0,64.2070,0
64.5960,0,64.5960,0,64.5960,0,64.5960,-1.79769e+308,64.5960,0,64.5960,0
64.9850,0,64.9850,0,64.9850,0,64.9850,-1.79769e+308,64.9850,0,64.9850,0
65.3740,0,65.3740,0,65.3740,0,65.3740,-1.79769e+308,65.3740,0,65.3740,0
65.7630,0,65.7630,0,65.7630,0,65.7630,-1.79769e+308,65.7630,0,65.7630,0
66.1520,0,66.1520,0,66.1520,0,66.1520,-1.79769e+308,66.1520,0,66.1520,0
66.5410,0,66.5410,0,66.5410,0,66.5410,-1.79769e+308,66.5410,0,66.5410,0
66.9310,0,66.9310,0,66.9310,0,66.9310,-1.79769e+308,66.9310,0,66.9310,0
67.3200,0,67.3200,0,67.3200,0,67.3200,-1.79769e+308,67.3200,0,67.3200,0
67.7090,0,67.7090,0,67.7090,0,67.7090,-1.79769e+308,67.7090,0,67.7090,0
68.0980,0,68.0980,0,68.0980,0,68.0980,-1.79769e+308,68.0980,0,68.0980,0
68.4870,0,68.4870,0,68.4870,0,68.4870,-1.79769e+308,68.4870,0,68.4870,0
68.8770,0,68.8770,0,68.8770,0,68.8770,-1.79769e+308,68.8770,0,68.8770,0
